# X0 Y0 Z0 sigma0 atan step X Y Z sigma
415 193 -1340588 1 2389617 2 367 296 -3730205 0
327 -210 -1688204 0 4109359 6 323 -215 2421155 1
95 -234 1448614 1 2382845 12 96 -234 -934231 0
-214 -452 -1052671 0 3280876 7 -218 -450 2228205 1
-374 -74 43850 0 2414817 1 -411 113 2458667 1
-355 411 -198625 1 3765226 8 -356 409 -3963851 0
275 9 -1017874 1 2661861 0 266 284 -3679735 0
-286 2 -44801 1 2986480 11 -286 1 -3031281 0
86 -216 876169 0 2381121 1 -22 -259 3257290 1
-161 -42 -856014 0 3852520 6 -162 -39 2996506 1
-417 -8 807561 0 1291746 0 -425 409 2099307 1
340 -309 1334228 0 2779576 3 301 -351 4113804 1
492 -53 347717 0 1826387 1 465 -299 2174104 1
227 221 -1747884 1 1035328 3 200 249 -2783212 0
-74 287 -1360014 1 2414958 2 -145 268 -3774972 0
134 -92 439578 0 2841979 7 133 -93 3281557 1
-4 52 -801516 1 617616 6 -4 51 -1419132 0
-230 382 -980207 0 178345 14 -230 383 -801862 0
0 376 1682213 1 1583103 10 0 376 99110 1
-25 -85 21254 1 141419 11 -24 -86 -120165 0
-100 161 -7354 0 1857073 13 -100 162 1849719 1
-268 -434 1742883 1 2668093 8 -266 -436 -925210 0
-179 60 2040734 1 1990015 11 -179 59 50719 1
-348 59 208330 0 301251 2 -334 146 509581 1
204 201 1514031 0 1111702 0 405 -3 2625733 1
12 -83 526530 1 2994438 8 13 -83 -2467908 0
-52 -95 1980563 1 3649567 5 -49 -97 -1669004 0
214 -280 828034 1 1855308 8 216 -280 -1027274 0
-158 289 1306849 0 1554075 0 131 447 2860924 1
457 92 195369 1 2853657 10 457 92 -2658288 0
-216 357 727136 1 3635410 1 -394 249 -2908274 0
175 -417 -1027811 0 1438964 3 122 -438 411153 1
-151 -167 1573810 0 806220 10 -152 -166 2380030 1
-221 -246 -1390311 0 946917 15 -222 -245 -443394 0
-60 314 2026035 1 928100 4 -79 310 1097935 1
-416 139 -578586 1 569844 5 -420 126 -1148430 0
423 -425 1636133 1 2480754 15 424 -425 -844621 0
190 124 -529519 0 965933 3 205 101 436414 1
250 -257 -1965964 1 703094 5 259 -250 -2669058 0
291 -59 -1889147 1 1725427 15 292 -59 -3614574 0
-137 -266 -417236 0 2939793 3 -171 -248 2522557 1
365 -83 1576355 1 3308274 6 367 -78 -1731919 0
461 82 -1392690 1 1244120 9 461 82 -2636810 0
-322 -135 2062802 0 1988517 3 -339 -94 4051319 1
-415 489 1446774 1 263107 11 -415 488 1183667 1
-322 93 331612 1 801263 15 -322 92 -469651 0
319 489 1102685 0 3073590 15 319 489 4176275 1
249 -264 885853 0 2450227 3 216 -295 3336080 1
-251 137 208832 0 2220603 11 -251 138 2429435 1
-130 -379 -2021899 0 3451960 8 -132 -378 1430061 1
128 -237 302055 0 2771163 7 126 -238 3073218 1
9 -44 -1720893 0 34828 2 -2 -46 -1686065 0
-421 -302 -763311 0 1112261 11 -422 -301 348950 1
347 136 1914354 1 2780677 4 339 157 -866323 0
-250 -51 258288 1 3775217 5 -248 -59 -3516929 0
-48 491 -1687844 1 1706520 1 -293 467 -3394364 0
-141 -103 -10811 1 959413 2 -115 -139 -970224 0
-157 -203 -557706 1 1526935 6 -153 -206 -2084641 0
20 -340 1049173 0 1512626 4 -2 -341 2561799 1
-60 -386 1386719 1 227745 14 -59 -387 1158974 1
298 347 919861 1 804947 5 288 356 114914 1
81 -101 292605 1 1477410 5 85 -99 -1184805 0
219 149 1695312 0 1274859 10 219 149 2970171 1
-53 -83 1248689 1 2254404 14 -52 -84 -1005715 0
388 -114 1349992 0 636098 4 380 -138 1986090 1
-438 -203 -1381540 1 1253625 8 -437 -205 -2635165 0
-367 -396 -238422 0 2658669 3 -417 -350 2420247 1
243 355 488067 1 2211400 5 232 362 -1723333 0
-156 -461 -381519 0 2869860 4 -185 -451 2488341 1
-93 356 -669384 1 2928694 7 -95 355 -3598078 0
92 -463 1508384 0 1553269 14 91 -463 3061653 1
-481 227 -1302036 1 2096080 14 -481 226 -3398116 0
-342 -309 1772306 1 3726542 3 -303 -352 -1954236 0
469 -472 -750178 1 2385093 10 470 -472 -3135271 0
203 -262 871982 1 2094509 2 269 -212 -1222527 0
-222 297 886604 1 1646479 2 -296 241 -759875 0
-418 -329 -939971 1 461087 7 -415 -333 -1401058 0
344 -474 -390051 0 3847416 5 329 -484 3457365 1
274 457 895568 0 861500 3 331 423 1757068 1
393 421 613825 0 1748168 12 393 421 2361993 1
368 227 8195 1 990206 13 368 227 -982011 0
-314 -413 463057 0 913000 11 -315 -412 1376057 1
444 -162 -1065301 0 269788 6 441 -168 -795513 0
-462 129 -1668004 0 961206 15 -462 130 -706798 0
-236 63 -2058047 0 2102826 4 -233 78 44779 1
461 225 254616 1 1433244 4 447 253 -1178628 0
479 18 138878 1 38614 7 479 21 100264 1
-508 -358 2091933 1 3297018 6 -502 -366 -1205085 0
-111 8 -36041 0 3649076 14 -111 9 3613035 1
-424 -310 1696997 0 764928 7 -427 -306 2461925 1
502 198 1554921 1 4068886 13 502 198 -2513965 0
235 -349 1360540 1 216118 6 241 -346 1144422 1
-191 -150 460244 1 1255826 7 -189 -152 -795582 0
-296 -95 -1191082 0 1290166 3 -308 -58 99084 1
-446 475 -1929866 1 832300 14 -446 474 -2762166 0
380 452 -959470 1 2366084 10 380 452 -3325554 0
-17 275 588229 1 1303179 2 -85 270 -714950 0
-161 90 737523 0 3184699 4 -156 101 3922222 1
-83 443 1838 1 1317168 9 -83 442 -1315330 0
-438 -204 -282690 0 2446233 5 -445 -190 2163543 1
-365 44 1750573 1 3460674 13 -365 43 -1710101 0
-98 271 1200871 1 1724823 11 -98 270 -523952 0
-400 -494 -1396700 1 2688335 15 -399 -495 -4085035 0
173 -124 1352642 0 73810 3 157 -145 1426452 1
455 -306 -754095 0 3074412 8 453 -307 2320317 1
94 -125 -57308 0 3271283 6 92 -126 3213975 1
222 -447 -523428 1 1018380 13 223 -447 -1541808 0
-16 -105 1877843 1 3427251 2 11 -109 -1549408 0
-407 -181 -1853766 0 3829465 12 -408 -180 1975699 1
151 414 -135479 0 3611897 6 157 412 3476418 1
-171 -483 -22676 0 3192192 1 -413 -397 3169516 1
-171 -175 328039 1 2382220 1 -83 -261 -2054181 0
-260 434 772094 1 3625952 11 -260 433 -2853858 0
186 -445 272942 1 3066599 15 187 -445 -2793657 0
415 170 -526670 0 3595676 5 420 158 3069006 1
175 252 1749061 0 406918 0 427 77 2155979 1
-70 -360 1139517 0 732341 7 -73 -359 1871858 1
-409 106 1579709 1 3789314 1 -462 -99 -2209605 0
127 -413 468937 0 1236763 4 101 -420 1705700 1
-334 -322 1671394 1 165072 10 -333 -323 1506322 1
161 26 -1344544 1 245056 9 161 26 -1589600 0
120 505 -299460 1 1307857 13 120 505 -1607317 0
192 -492 -1675632 0 1376280 9 191 -492 -299352 0
-354 -29 -1599611 1 1920462 8 -353 -31 -3520073 0
94 -36 176031 0 3050293 7 93 -36 3226324 1
179 221 -1180774 0 332821 10 179 221 -847953 0
-123 -347 1852704 1 1781605 5 -112 -351 71099 1
-234 507 -3566 1 988023 3 -297 477 -991589 0
225 123 1917143 0 1018721 15 225 123 2935864 1
471 -230 -1665393 0 2700809 3 442 -288 1035416 1
91 -180 394883 1 71149 1 181 -135 323734 1
279 -259 -926349 0 3486715 12 278 -259 2560366 1
-170 -108 1298438 0 93855 2 -197 -65 1392293 1
370 177 -337093 0 4177307 4 381 154 3840214 1
-145 -108 896628 1 925088 4 -138 -118 -28460 0
300 124 -1904448 0 1228081 14 300 124 -676367 0
7 -205 -1887598 1 1416495 14 8 -205 -3304093 0
-363 147 -359440 0 3675091 9 -363 148 3315651 1
502 44 622068 0 1879316 10 502 44 2501384 1
220 -45 639954 1 2600535 10 221 -45 -1960581 0
35 -344 1049150 1 3300189 5 46 -343 -2251039 0
-438 354 38367 1 1961635 8 -439 352 -1923268 0
-82 382 759458 0 1076018 12 -82 383 1835476 1
418 -471 -43818 0 3852327 11 417 -471 3808509 1
403 243 -938074 1 2447241 5 396 255 -3385315 0
54 -76 1754418 0 1447742 7 53 -76 3202160 1
460 313 -1223714 0 1620690 4 479 285 396976 1
-477 -110 -179416 0 710392 12 -478 -109 530976 1
-408 -420 -13623 0 4054445 15 -409 -419 4040822 1
144 -126 1911482 1 376262 10 145 -126 1535220 1
299 127 1675082 0 898580 9 299 127 2573662 1
-200 390 685811 1 2262009 5 -212 383 -1576198 0
-226 -36 1759023 1 509622 15 -225 -37 1249401 1
-94 -311 543764 1 2600276 12 -93 -312 -2056512 0
291 -407 -496551 0 698344 7 287 -409 201793 1
-455 295 -453679 0 2210103 13 -455 296 1756424 1
11 117 240216 0 3156386 9 11 117 3396602 1
384 -94 -1913503 0 3439395 8 383 -95 1525892 1
376 -66 33843 0 477665 11 375 -66 511508 1
-115 423 32428 1 2748791 6 -121 421 -2716363 0
-313 -115 -1432432 1 1837936 11 -312 -116 -3270368 0
165 402 202508 0 3095294 13 165 402 3297802 1
-207 55 945781 1 1354811 10 -207 54 -409030 0
-99 -282 -54026 1 2882972 14 -98 -283 -2936998 0
-317 55 57573 1 1393754 0 -372 -262 -1336181 0
20 193 136247 1 3983086 11 20 193 -3846839 0
-159 352 360240 0 2592158 4 -137 362 2952398 1
359 329 1536730 1 3542548 14 359 329 -2005818 0
339 -2 -1143103 0 3733800 5 338 -12 2590697 1
-148 -249 -1142014 0 2471404 4 -164 -239 1329390 1
-449 -150 1406365 0 1524585 6 -452 -142 2930950 1
494 -247 -510196 0 581631 7 492 -250 71435 1
5 226 -1828119 0 867362 4 19 226 -960757 0
348 173 1227372 0 1531952 7 349 171 2759324 1
-416 -466 360323 0 1452198 11 -417 -465 1812521 1
-27 -130 721580 1 2589614 6 -24 -131 -1868034 0
10 310 -1062704 0 2256531 6 14 310 1193827 1
-238 -267 1071546 1 2598372 12 -237 -268 -1526826 0
-343 -388 1494186 1 3608353 11 -342 -389 -2114167 0
293 270 -133962 0 3402971 1 428 124 3269009 1
-488 382 393190 0 2292843 11 -488 383 2686033 1
-76 72 639209 1 708570 14 -76 71 -69361 0
-106 367 -1544214 0 3875201 7 -104 368 2330987 1
-211 47 94230 0 49511 3 -206 74 143741 1
414 -424 199899 0 2649829 7 410 -427 2849728 1
320 -252 488281 0 2260304 15 319 -252 2748585 1
157 -232 -828095 0 2619892 11 156 -232 1791797 1
-465 -193 -104814 0 3775069 10 -466 -192 3670255 1
-466 435 -173705 0 670255 14 -466 436 496550 1
213 361 -179923 1 3749882 15 213 361 -3929805 0
-210 -278 79957 1 2739785 5 -201 -285 -2659828 0
-35 202 1466254 0 1827480 13 -35 203 3293734 1
160 368 1422883 0 2498074 6 165 366 3920957 1
-463 208 -1036791 0 1833185 1 -359 440 796394 1
164 117 -1329585 0 2117146 7 164 116 787561 1
416 -120 1932276 0 2209583 7 415 -123 4141859 1
-435 432 926110 0 170870 11 -435 433 1096980 1
-16 -190 1353935 0 2818005 13 -17 -189 4171940 1
131 204 1728563 1 3841460 12 131 204 -2112897 0
96 265 -606385 0 3048201 2 162 241 2441816 1
-290 423 657323 1 3059860 8 -291 421 -2402537 0
359 -208 -194283 0 1059486 5 352 -219 865203 1
-432 -63 -1784925 0 3326687 8 -433 -61 1541762 1
121 275 -801097 0 8441 5 129 272 -792656 0
-311 367 1986652 1 3031 15 -311 366 1983621 1
117 -458 -413681 0 1225840 10 116 -458 812159 1
22 351 780301 1 3607004 12 22 351 -2826703 0
272 -7 163128 0 168761 15 271 -7 331889 1
264 210 1772085 1 1800367 12 264 210 -28282 0
-431 -472 -596848 0 4107905 4 -461 -445 3511057 1
330 -354 987235 1 2852172 5 342 -344 -1864937 0
440 -416 664201 0 2936341 13 439 -416 3600542 1
-299 -443 -1911941 0 4150512 2 -410 -368 2238571 1
-269 428 1466057 1 2248993 1 -483 293 -782936 0
492 -86 -362022 0 4188374 10 491 -86 3826352 1
190 71 -1115167 0 2065802 15 190 71 950635 1
-74 380 1808479 0 857049 0 306 454 2665528 1
165 -300 -1345763 1 1220504 6 170 -298 -2566267 0
-426 -148 578864 0 2475877 15 -427 -147 3054741 1
-209 193 -493410 0 1257867 15 -209 194 764457 1
-56 -60 362616 0 3196348 9 -57 -59 3558964 1
-133 106 -1278189 1 2455277 2 -159 72 -3733466 0
55 -99 -250283 0 2682706 0 -44 -154 2432423 1
93 -443 -1744099 1 1903132 5 107 -441 -3647231 0
-282 -267 -1879118 0 2524237 6 -287 -262 645119 1
-198 32 -1279025 1 1755806 1 -214 -67 -3034831 0
344 24 -2092371 0 2449659 8 344 23 357288 1
436 153 -1020730 0 1275844 2 474 44 255114 1
415 -380 311102 1 1437590 11 416 -380 -1126488 0
70 -237 -874223 0 2569232 14 69 -237 1695009 1
363 -323 312311 1 1775088 2 444 -233 -1462777 0
265 -225 -147482 0 2547017 13 264 -225 2399535 1
-158 411 -154062 0 3905189 14 -158 412 3751127 1
-276 115 -806407 1 798305 8 -276 113 -1604712 0
62 -314 1573584 0 713268 4 42 -317 2286852 1
107 -163 1824137 0 1123430 8 106 -163 2947567 1
-149 -143 588445 1 2655901 0 -6 -292 -2067456 0
-56 395 1136640 0 151539 9 -56 396 1288179 1
312 -172 270445 1 1480453 11 313 -172 -1210008 0
-112 368 1855317 1 2251499 10 -112 367 -396182 0
-419 -47 -540180 0 280150 7 -420 -43 -260030 0
299 -503 -2007500 1 1874009 4 331 -485 -3881509 0
64 126 -657654 0 645810 15 64 126 -11844 0
32 12 1585457 1 479528 8 32 12 1105929 1
5 227 1122297 0 489220 0 232 222 1611517 1
189 -75 1727701 1 4128698 13 190 -75 -2400997 0
341 128 1319619 0 128052 1 405 -42 1447671 1
-41 183 -1919429 0 1662992 9 -41 184 -256437 0
-34 352 -243424 0 1248474 0 318 386 1005050 1
-353 7 1986976 0 101554 0 -346 360 2088530 1
104 -473 -1589078 0 1866893 5 89 -476 277815 1
211 -179 -2090491 0 806878 11 210 -179 -1283613 0
-43 116 -1461929 0 1130918 15 -43 117 -331011 0
-196 -66 515890 1 1102039 8 -195 -67 -586149 0
-198 293 449279 1 2205246 3 -234 268 -1755967 0
288 288 355354 1 3807711 10 288 288 -3452357 0
167 450 1886542 1 1038792 10 167 450 847750 1
275 160 1109494 0 1060601 5 280 152 2170095 1
-88 -451 -1276426 0 3590935 12 -89 -450 2314509 1
-14 4 1392416 1 2678917 10 -14 3 -1286501 0
-10 502 969792 1 386087 3 -72 500 583705 1
247 74 -915633 1 2722112 12 247 74 -3637745 0
-155 133 -628758 1 3416241 1 -221 55 -4044999 0
232 97 1679524 1 4013307 13 232 97 -2333783 0
67 248 -83153 0 3182436 0 315 181 3099283 1
59 -406 547055 0 3580212 8 57 -406 4127267 1
-103 -316 -917329 0 3979110 13 -104 -315 3061781 1
-468 383 1832115 1 1389722 7 -470 379 442393 1
-77 13 -1202845 0 1785158 1 -71 52 582313 1
-103 392 -153638 0 1373405 6 -97 394 1219767 1
415 -490 1883272 1 1072816 14 416 -490 810456 1
-90 51 1244903 1 3053266 0 -141 -39 -1808363 0
404 -191 -266918 1 705520 11 405 -191 -972438 0
-50 459 1784021 1 2258188 14 -50 458 -474167 0
-430 377 -82856 1 2587643 13 -430 376 -2670499 0
415 -408 1394944 0 335226 6 408 -414 1730170 1
386 -69 -1152537 0 2215806 7 385 -72 1063269 1
-298 226 1039504 0 14891 5 -291 236 1054395 1
-98 -491 -662933 0 1413861 9 -99 -490 750928 1
-329 -206 -1910154 0 1602803 12 -330 -205 -307351 0
203 370 -1072836 0 3119798 12 203 370 2046962 1
332 443 538293 1 416538 14 332 443 121755 1
-312 -347 -1018577 0 3988003 8 -314 -345 2969426 1
-346 -270 -1578948 0 2707706 9 -347 -269 1128758 1
-388 215 -643862 0 1199663 11 -388 216 555801 1
-141 -67 966976 0 1526351 0 -208 74 2493327 1
143 186 -581363 0 345243 3 166 169 -236120 0
358 -11 238454 0 1560271 15 357 -11 1798725 1
5 393 1424177 1 3513469 2 -93 394 -2089292 0
-235 -232 -1698633 1 1580081 2 -177 -291 -3278714 0
-374 19 -1914188 0 3627717 11 -374 20 1713529 1
413 -253 -939576 0 3831842 7 411 -256 2892266 1
-266 11 615944 0 530341 8 -266 13 1146285 1
-201 474 840226 1 3401232 1 -438 373 -2561006 0
419 183 490360 0 3662722 7 420 180 4153082 1
304 140 1454427 1 3376849 9 304 140 -1922422 0
0 143 -259094 1 601058 11 0 143 -860152 0
-470 107 -47058 1 2702558 9 -470 106 -2749616 0
136 -288 -100564 1 803654 10 137 -288 -904218 0
459 -487 429495 1 3064824 8 461 -486 -2635329 0
108 181 1679005 1 3398587 1 18 235 -1719582 0
337 240 -8629 1 3141577 12 337 240 -3150206 0
411 159 -1802155 0 3640869 3 430 108 1838714 1
206 -19 -286537 0 754024 11 205 -19 467487 1
374 -298 210707 1 2028948 11 375 -298 -1818241 0
228 322 2089387 0 136901 2 308 265 2226288 1
-169 296 1660003 1 3623977 9 -169 295 -1963974 0
-105 231 697619 1 723944 5 -112 227 -26325 0
151 -411 -1339679 0 721230 15 150 -411 -618449 0
-506 107 1653850 0 520871 9 -506 108 2174721 1
-84 -106 -388056 1 3330258 6 -82 -108 -3718314 0
369 242 974884 0 199125 1 490 58 1174009 1
376 -14 42628 1 3451799 12 377 -14 -3409171 0
282 473 753136 1 1162965 4 253 490 -409829 0
279 11 -848148 0 190340 14 279 11 -657808 0
-441 424 354633 0 2525741 3 -388 480 2880374 1
505 431 -589927 1 2070083 8 504 432 -2660010 0
498 -484 -861222 0 2006809 6 490 -491 1145587 1
-113 -388 353849 1 432692 1 81 -445 -78843 0
169 -24 549112 0 3156245 4 167 -34 3705357 1
114 -448 1392916 1 48287 4 142 -441 1344629 1
-501 -380 307539 1 1375666 8 -499 -382 -1068127 0
421 -330 -278978 1 98904 13 422 -330 -377882 0
118 14 1374927 1 3482468 6 118 15 -2107541 0
136 -37 -1715152 0 334064 8 135 -37 -1381088 0
55 -426 -1249504 0 2788934 7 51 -426 1539430 1
-307 83 1923709 1 2168338 0 -390 -224 -244629 0
-255 430 1648728 1 2051624 6 -261 426 -402896 0
-361 447 625876 0 1421216 3 -306 493 2047092 1
-143 -477 -624250 0 1437234 8 -145 -476 812984 1
132 383 362427 0 920398 12 132 383 1282825 1
212 -418 82392 0 1967071 11 211 -418 2049463 1
33 -221 798656 0 2116345 7 31 -221 2915001 1
-402 -83 527283 1 2836028 14 -401 -84 -2308745 0
-320 213 -1565229 0 1536906 1 -214 373 -28323 0
-13 70 -1404181 0 2068018 11 -13 71 663837 1
-334 14 91095 1 1769018 3 -335 -28 -1677923 0
406 239 479676 0 609804 14 406 239 1089480 1
-437 453 683521 0 2119791 5 -423 467 2803312 1
-375 474 -364357 0 2716501 9 -375 475 2352144 1
-281 70 2039231 0 247640 10 -281 71 2286871 1
-85 -108 224566 1 1479997 9 -84 -109 -1255431 0
485 -275 -404932 0 2916649 15 484 -275 2511717 1
-123 -113 -2048462 1 461411 0 -10 -236 -2509873 0
220 170 574365 1 837175 15 220 170 -262810 0
112 -32 -1678813 1 1020616 7 113 -32 -2699429 0
-98 -395 -1404639 1 2309109 8 -96 -396 -3713748 0
-63 127 1752174 0 1910500 3 -48 135 3662674 1
-450 249 38481 0 160353 12 -450 250 198834 1
-177 -407 1888244 1 489789 3 -126 -430 1398455 1
-66 316 918567 1 1651313 13 -66 315 -732746 0
36 5 -239415 1 1154724 0 31 41 -1394139 0
-501 -239 -1168761 0 3235450 14 -502 -238 2066689 1
169 172 -88770 0 750351 13 169 172 661581 1
291 -409 1123249 0 154411 13 290 -409 1277660 1
-220 -323 1907724 0 1249408 5 -231 -316 3157132 1
-155 335 -1805269 0 4159454 6 -150 338 2354185 1
-358 49 -291748 0 2195413 6 -358 55 1903665 1
-162 48 779717 1 2683064 13 -162 47 -1903347 0
124 510 -596470 0 182816 11 124 510 -413654 0
-10 -435 1475441 1 3305550 7 -6 -436 -1830109 0
-267 486 2056183 1 45384 4 -297 469 2010799 1
-20 -82 1465958 1 262783 15 -19 -83 1203175 1
124 -268 -983527 1 2815736 14 125 -268 -3799263 0
-231 35 -1789907 1 75468 0 -266 -196 -1865375 0
-243 -147 -1756890 1 1971010 2 -206 -208 -3727900 0
-266 -321 1742857 1 215052 15 -265 -322 1527805 1
421 488 -2094256 0 2219085 6 428 482 124829 1
-408 -232 432319 1 387210 5 -400 -245 45109 1
153 375 -301403 0 475877 9 153 375 174474 1
-267 285 1634800 0 1231236 6 -263 290 2866036 1
205 -425 -470087 1 1222246 11 206 -425 -1692333 0
393 -168 1381363 1 1584486 14 394 -168 -203123 0
401 -79 -670473 1 3002777 0 480 322 -3673250 0
144 -400 -1243347 0 3278372 5 131 -404 2035025 1
-272 34 253441 0 1765412 12 -272 35 2018853 1
-139 -413 1567425 0 97680 3 -191 -395 1665105 1
443 -240 725865 0 2972396 15 442 -240 3698261 1
205 339 -332268 1 2332483 7 203 340 -2664751 0
-394 -68 1582317 0 652074 0 -462 326 2234391 1
166 105 -951734 0 1798952 9 166 105 847218 1
-266 -281 2033484 0 1794320 1 -407 -148 3827804 1
19 186 -247487 1 1522873 9 19 186 -1770360 0
-472 -294 -418022 0 2881120 3 -509 -235 2463098 1
-42 243 -20942 1 1244733 2 -102 232 -1265675 0
-102 223 -389669 1 3607855 8 -102 222 -3997524 0
-458 -82 -296813 0 3757786 3 -469 -24 3460973 1
378 236 -1560613 0 2155807 14 378 236 595194 1
-301 -304 10537 1 33094 1 -149 -455 -22557 0
-227 -109 -98625 0 1352732 6 -229 -105 1254107 1
-293 -359 -433887 0 153038 9 -294 -358 -280849 0
300 300 1446133 1 284344 6 296 304 1161789 1
325 172 -2009316 0 3340396 9 325 172 1331080 1
-162 -245 194763 1 1863451 15 -161 -246 -1668688 0
301 214 -68412 0 602644 13 301 214 534232 1
-181 68 -424751 1 481486 11 -181 67 -906237 0
402 -52 1418519 1 1832352 12 403 -52 -413833 0
42 140 -1457936 1 662427 2 7 150 -2120363 0
241 -308 -182300 0 3099487 7 238 -309 2917187 1
346 48 -804828 1 248202 0 298 394 -1053030 0
-328 417 1646890 1 1005100 7 -331 414 641790 1
-24 -391 -253676 0 3721832 0 -415 -367 3468156 1
297 -409 -766022 1 93885 3 349 -372 -859907 0
-24 -207 -1782083 0 2615089 13 -25 -206 833006 1
17 352 -765244 0 537024 8 18 352 -228220 0
20 -189 -1280309 1 950584 9 21 -189 -2230893 0
-73 439 625843 1 1355771 9 -73 438 -729928 0
-225 -476 -278521 1 282739 12 -224 -477 -561260 0
403 -161 -324377 0 3790619 7 401 -164 3466242 1
207 -508 1610273 1 1968196 9 208 -508 -357923 0
-23 373 -1066530 0 489427 7 -21 374 -577103 0
158 -277 17179 1 3747251 4 176 -268 -3730072 0
377 22 -1902957 0 1354077 14 377 22 -548880 0
-287 474 1495684 0 2182985 6 -280 479 3678669 1
-347 141 -1016796 0 1349655 10 -347 142 332859 1
70 -36 -1038561 0 1096232 3 65 -44 57671 1
30 291 -116504 1 1824834 3 -6 294 -1941338 0
410 -60 -1871250 0 1254264 6 409 -66 -616986 0
-426 221 -138004 1 1979764 10 -426 220 -2117768 0
260 -361 1918431 0 1147508 15 259 -361 3065939 1
239 -507 -920455 0 1896299 15 238 -507 975844 1
-52 52 1163220 1 692846 4 -55 48 470374 1
473 190 -2089128 0 3787963 15 473 190 1698835 1
334 -500 727893 1 3906677 13 335 -500 -3178784 0
413 -163 410779 1 3201918 3 434 -112 -2791139 0
-361 192 964617 1 3309910 9 -361 191 -2345293 0
371 351 1642258 0 861137 13 371 351 2503395 1
-319 396 172110 1 1556349 5 -331 386 -1384239 0
-414 -224 2052565 0 604542 8 -415 -222 2657107 1
-171 -93 -1306213 0 1045533 7 -172 -91 -260680 0
-10 -1 329777 1 1457190 5 -9 -2 -1127413 0
348 166 1284642 1 3749854 3 328 209 -2465212 0
119 148 -1808446 0 2123884 13 119 148 315438 1
15 -499 480049 1 1008976 12 16 -499 -528927 0
389 -324 -441271 0 1186455 15 388 -324 745184 1
-373 46 -1917442 0 345096 5 -372 58 -1572346 0
-79 -216 -1290568 1 1315499 9 -78 -217 -2606067 0
-116 -159 -1554386 0 2916438 5 -121 -155 1362052 1
-70 -96 -1971142 0 3405940 12 -71 -95 1434798 1
-367 -114 1273858 1 1576039 10 -366 -115 -302181 0
108 361 1902871 0 9797 6 113 360 1912668 1
273 -435 -553496 0 2509256 8 271 -436 1955760 1
-286 398 -1358403 0 1038997 2 -187 470 -319406 0
-122 1 -950058 0 1001421 12 -122 2 51363 1
6 15 1008464 1 2872187 3 5 15 -1863723 0
457 -17 -118898 0 360398 9 456 -17 241500 1
-16 237 -1852798 0 2466215 5 -9 238 613417 1
120 -405 -1271038 1 2254729 7 124 -405 -3525767 0
-345 376 1622271 1 1794971 11 -345 375 -172700 0
511 -189 -183636 0 1774409 10 510 -189 1590773 1
273 0 352266 0 655685 14 273 0 1007951 1
63 -343 389743 1 1141372 10 64 -343 -751629 0
322 -501 343593 0 1663282 5 306 -511 2006875 1
-73 -139 -1324851 1 167036 14 -72 -140 -1491887 0
-342 -322 -1101508 0 1996478 11 -343 -321 894970 1
223 119 1570308 1 3795583 0 104 342 -2225275 0
-485 -90 2010495 1 2431195 6 -483 -98 -420700 0
-110 -385 1056242 1 116267 13 -109 -386 939975 1
294 -135 -358300 0 3129161 10 293 -135 2770861 1
-462 454 -1190088 0 1787334 10 -462 455 597246 1
-413 61 799989 0 2579697 6 -413 68 3379686 1
464 -356 729904 1 2912006 13 465 -356 -2182102 0
-220 410 668101 0 2730527 5 -208 417 3398628 1
-456 202 417615 0 2202805 8 -456 204 2620420 1
-210 11 1459651 1 3591071 7 -210 9 -2131420 0
126 -199 426254 1 570495 12 127 -199 -144241 0
-445 421 -790280 1 3005848 9 -445 420 -3796128 0
-53 -106 1882964 1 1906205 8 -52 -107 -23241 0
123 -233 660688 1 2721679 11 124 -233 -2060991 0
459 452 1566544 0 2158048 6 466 445 3724592 1
-489 -265 293347 1 127904 14 -488 -266 165443 1
252 -34 -1157147 1 2790549 11 253 -34 -3947696 0
-151 426 626107 1 4135463 6 -157 423 -3509356 0
273 48 -1839393 0 120740 1 297 -88 -1718653 0
459 -485 1911920 1 358999 15 460 -485 1552921 1
118 129 1953516 1 3098480 7 117 129 -1144964 0
-95 163 -564149 0 2058486 11 -95 164 1494337 1
-61 -486 506355 0 478119 3 -122 -478 984474 1
322 -244 -1082583 0 1643009 9 321 -244 560426 1
474 -501 -700776 0 700433 14 473 -501 -343 0
353 -449 282954 1 685334 10 354 -449 -402380 0
-180 472 -1503132 0 1852364 14 -180 473 349232 1
-429 -240 1953647 1 707823 5 -421 -254 1245824 1
169 148 -84919 0 3043571 8 169 148 2958652 1
400 99 -629742 1 5737 10 400 99 -635479 0
-292 209 -60127 1 3146048 8 -292 207 -3206175 0
-346 -250 -1648000 1 2183683 2 -283 -337 -3831683 0
-229 -215 -1939743 0 3672860 13 -230 -214 1733117 1
-229 -407 -647798 0 3769270 9 -230 -406 3121472 1
-11 -482 -1404687 1 643622 11 -10 -483 -2048309 0
409 -163 447838 0 3497921 11 408 -163 3945759 1
-76 -344 -123847 1 1962189 4 -54 -349 -2086036 0
-100 -354 -1110039 0 1024704 12 -101 -353 -85335 0
220 -268 -1607335 0 1806599 9 219 -268 199264 1
-1 -262 -768069 1 1217188 6 4 -263 -1985257 0
-161 6 -1352053 0 712541 11 -161 7 -639512 0
493 -41 87127 1 3219112 14 494 -41 -3131985 0
398 274 -1002432 1 360090 5 390 286 -1362522 0
78 27 2077558 1 806690 7 78 27 1270868 1
374 -93 -518356 1 347393 0 467 281 -865749 0
